PreCondName,TrgCol,ratingName,CSName,UCSName,SoundName,Session_Condition.thisRepN,Session_Condition.thisTrialN,Session_Condition.thisN,Session_Condition.thisIndex,PreCond.thisRepN,PreCond.thisTrialN,PreCond.thisN,PreCond.thisIndex,RatingPreCond.thisRepN,RatingPreCond.thisTrialN,RatingPreCond.thisN,RatingPreCond.thisIndex,Cond.thisRepN,Cond.thisTrialN,Cond.thisN,Cond.thisIndex,RatingCond.thisRepN,RatingCond.thisTrialN,RatingCond.thisN,RatingCond.thisIndex,InstrBkg.started,TagFig.started,InstrKeyResp.started,InstrKeyResp.keys,InstrKeyResp.rt,precondBkg.started,imagePreCond.started,imagePreCond.stopped,BlankBkg.started,BlankBkg.stopped,Bkg.started,image.started,Scale.started,Scale.response,Scale.rt,fearRating.keys,fearRating.rt,InstrBkg2.started,TagFig2.started,key_resp.started,key_resp.keys,key_resp.rt,CSBkg.started,CS_image.started,UCSBkg.started,UCS_image.started,sound_1.started,CSBkg.stopped,CS_image.stopped,sound_1.stopped,UCSBkg.stopped,UCS_image.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,-0.1,,Condition/CS+1.BMP,Condition/black.PNG,Sound/silent.wav,0,0,0,0,,,,,,,,,0,27,27,0,,,,,,,,,,,,,602.9191246249829,611.1225894590025,,,,,,,,,,,,,594.9921149589936,594.9921149589936,,,,,,,,,k,001,2022-12-06_13h23.33.040,FigureTest,2022.2.4,59.92072512804996,
,-0.1,,Condition/CS+1.BMP,Condition/black.PNG,Sound/silent.wav,0,0,0,0,,,,,,,,,0,28,28,1,,,,,,,,,,,,,618.954624291975,627.2269780840143,,,,,,,,,,,,,611.1225894590025,611.1225894590025,,,,,,,,,k,001,2022-12-06_13h23.33.040,FigureTest,2022.2.4,59.92072512804996,
,0.4,,Condition/CS-1.BMP,Condition/black.PNG,Sound/silent.wav,0,0,0,0,,,,,,,,,0,29,29,23,,,,,,,,,,,,,635.1315457089804,643.3721448750002,,,,,,,,,,,,,627.2269780840143,627.2269780840143,,,,,,,,,k,001,2022-12-06_13h23.33.040,FigureTest,2022.2.4,59.92072512804996,
,-0.1,Instructions_EN/ratingCS+1.png,,,,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,643.3721448750002,643.3721448750002,643.3721448750002,None,None,6,5.262048416014295,,,,,,,,,,,,,,,,k,001,2022-12-06_13h23.33.040,FigureTest,2022.2.4,59.92072512804996,
,0.4,Instructions_EN/ratingCS-1.png,,,,0,0,0,0,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,648.6816610000096,648.6816610000096,648.6816610000096,None,None,6,0.3907347909989767,,,,,,,,,,,,,,,,k,001,2022-12-06_13h23.33.040,FigureTest,2022.2.4,59.92072512804996,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,001,2022-12-06_13h23.33.040,FigureTest,2022.2.4,59.92072512804996,
PreCondition/CS+2.BMP,-0.1,,,,,1,0,1,0,0,0,0,2,,,,,,,,,,,,,649.1171303750016,649.1171303750016,649.1171303750016,space,0.7782105410005897,649.9285638339934,649.9285638339934,655.9012907089782,655.917212624976,664.1391714999918,,,,,,,,,,,,,,,,,,,,,,,k,001,2022-12-06_13h23.33.040,FigureTest,2022.2.4,59.92072512804996,
PreCondition/CS-2.BMP,0.4,,,,,1,0,1,0,0,1,1,6,,,,,,,,,,,,,,,,,,664.1391714999918,664.1391714999918,670.1328552499763,670.1494032089831,678.337718499999,,,,,,,,,,,,,,,,,,,,,,,k,001,2022-12-06_13h23.33.040,FigureTest,2022.2.4,59.92072512804996,
PreCondition/CS-2.BMP,0.4,,,,,1,0,1,0,0,2,2,8,,,,,,,,,,,,,,,,,,678.337718499999,678.337718499999,684.3175914589665,684.3516927089659,692.5734710000106,,,,,,,,,,,,,,,,,,,,,,,k,001,2022-12-06_13h23.33.040,FigureTest,2022.2.4,59.92072512804996,
PreCondition/CS+2.BMP,-0.1,,,,,1,0,1,0,0,3,3,4,,,,,,,,,,,,,,,,,,692.5734710000106,692.5734710000106,698.5520379169611,698.5852789169876,706.6883007090073,,,,,,,,,,,,,,,,,,,,,,,k,001,2022-12-06_13h23.33.040,FigureTest,2022.2.4,59.92072512804996,
PreCondition/CS-2.BMP,0.4,,,,,1,0,1,0,0,4,4,7,,,,,,,,,,,,,,,,,,706.6883007090073,706.6883007090073,712.6692913339939,712.6844307089923,720.8973207919626,,,,,,,,,,,,,,,,,,,,,,,k,001,2022-12-06_13h23.33.040,FigureTest,2022.2.4,59.92072512804996,
PreCondition/CS+2.BMP,-0.1,,,,,1,0,1,0,0,5,5,3,,,,,,,,,,,,,,,,,,720.8973207919626,720.8973207919626,726.8692716669757,726.8858519999776,735.3877933339681,,,,,,,,,,,,,,,,,,,,,,,k,001,2022-12-06_13h23.33.040,FigureTest,2022.2.4,59.92072512804996,
PreCondition/CS+2.BMP,-0.1,,,,,1,0,1,0,0,6,6,0,,,,,,,,,,,,,,,,,,735.3877933339681,735.3877933339681,741.3695435000118,741.402389750001,749.5547497919761,,,,,,,,,,,,,,,,,,,,,,,k,001,2022-12-06_13h23.33.040,FigureTest,2022.2.4,59.92072512804996,
PreCondition/CS+2.BMP,-0.1,,,,,1,0,1,0,0,7,7,1,,,,,,,,,,,,,,,,,,749.5547497919761,749.5547497919761,755.5371181669761,755.5532151669613,763.7243526249658,,,,,,,,,,,,,,,,,,,,,,,k,001,2022-12-06_13h23.33.040,FigureTest,2022.2.4,59.92072512804996,
PreCondition/CS-2.BMP,0.4,,,,,1,0,1,0,0,8,8,9,,,,,,,,,,,,,,,,,,763.7243526249658,763.7243526249658,769.7034304999979,769.737435417017,778.122626583965,,,,,,,,,,,,,,,,,,,,,,,k,001,2022-12-06_13h23.33.040,FigureTest,2022.2.4,59.92072512804996,
PreCondition/CS-2.BMP,0.4,,,,,1,0,1,0,0,9,9,5,,,,,,,,,,,,,,,,,,778.122626583965,778.122626583965,784.1039789170027,784.1362466249848,792.445094374998,,,,,,,,,,,,,,,,,,,,,,,k,001,2022-12-06_13h23.33.040,FigureTest,2022.2.4,59.92072512804996,
,-0.1,Instructions_EN/ratingCS+2.png,,,,1,0,1,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,792.445094374998,792.445094374998,792.445094374998,None,None,1,30.525496416026726,,,,,,,,,,,,,,,,k,001,2022-12-06_13h23.33.040,FigureTest,2022.2.4,59.92072512804996,
,0.4,Instructions_EN/ratingCS-2.png,,,,1,0,1,0,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,823.01592062501,823.01592062501,823.01592062501,None,None,1,0.4214842080255039,,,,,,,,,,,,,,,,k,001,2022-12-06_13h23.33.040,FigureTest,2022.2.4,59.92072512804996,
,0.4,,Condition/CS-2.BMP,Condition/black.PNG,Sound/silent.wav,1,0,1,0,,,,,,,,,0,0,0,27,,,,,,,,,,,,,832.7171733750147,840.9846093339729,,,,,,,,823.4728987920098,823.4728987920098,823.4728987920098,space,1.099020207009744,824.602972291992,824.602972291992,,,,,,,,,k,001,2022-12-06_13h23.33.040,FigureTest,2022.2.4,59.92072512804996,
,0.9,,Condition/CS+2.BMP,Condition/UCS2.BMP,Sound/scream1.wav,1,0,1,0,,,,,,,,,0,1,1,11,,,,,,,,,,,,,847.9875208750018,856.29093774996,,,,,,,,,,,,,840.9846093339729,840.9846093339729,847.0529948339681,847.0529948339681,847.0556189169874,,,,,,k,001,2022-12-06_13h23.33.040,FigureTest,2022.2.4,59.92072512804996,
,0.9,,Condition/CS+2.BMP,Condition/UCS2.BMP,Sound/scream1.wav,1,0,1,0,,,,,,,,,0,2,2,9,,,,,,,,,,,,,863.2881256249966,871.7104162499891,,,,,,,,,,,,,856.29093774996,856.29093774996,862.2891120839631,862.2891120839631,862.2892905915854,,,,,,k,001,2022-12-06_13h23.33.040,FigureTest,2022.2.4,59.92072512804996,
,0.4,,Condition/CS-2.BMP,Condition/black.PNG,Sound/silent.wav,1,0,1,0,,,,,,,,,0,3,3,19,,,,,,,,,,,,,879.5914387499797,887.7850891670096,,,,,,,,,,,,,871.7104162499891,871.7104162499891,,,,,,,,,k,001,2022-12-06_13h23.33.040,FigureTest,2022.2.4,59.92072512804996,
,-0.1,,Condition/CS+2.BMP,Condition/black.PNG,Sound/silent.wav,1,0,1,0,,,,,,,,,0,4,4,1,,,,,,,,,,,,,895.7267037919955,903.9858288340038,,,,,,,,,,,,,887.7850891670096,887.7850891670096,,,,,,,,,k,001,2022-12-06_13h23.33.040,FigureTest,2022.2.4,59.92072512804996,
,0.4,,Condition/CS-2.BMP,Condition/black.PNG,Sound/silent.wav,1,0,1,0,,,,,,,,,0,5,5,29,,,,,,,,,,,,,911.8029094999656,920.0529124169843,,,,,,,,,,,,,903.9858288340038,903.9858288340038,,,,,,,,,k,001,2022-12-06_13h23.33.040,FigureTest,2022.2.4,59.92072512804996,
,-0.1,,Condition/CS+2.BMP,Condition/black.PNG,Sound/silent.wav,1,0,1,0,,,,,,,,,0,6,6,0,,,,,,,,,,,,,927.900428666966,936.1522175419959,,,,,,,,,,,,,920.0529124169843,920.0529124169843,,,,,,,,,k,001,2022-12-06_13h23.33.040,FigureTest,2022.2.4,59.92072512804996,
