PreCondName,TrgCol,ratingName,CSName,UCSName,SoundName,ExtName,PreConditiong1.thisRepN,PreConditiong1.thisTrialN,PreConditiong1.thisN,PreConditiong1.thisIndex,RatingPreCond1.thisRepN,RatingPreCond1.thisTrialN,RatingPreCond1.thisN,RatingPreCond1.thisIndex,Conditioning1.thisRepN,Conditioning1.thisTrialN,Conditioning1.thisN,Conditioning1.thisIndex,RatingCond1.thisRepN,RatingCond1.thisTrialN,RatingCond1.thisN,RatingCond1.thisIndex,Extinction1.thisRepN,Extinction1.thisTrialN,Extinction1.thisN,Extinction1.thisIndex,Rating3.thisRepN,Rating3.thisTrialN,Rating3.thisN,Rating3.thisIndex,InstrBkg.started,InstrBkg.stopped,TagFig.started,TagFig.stopped,InstrKeyResp.keys,InstrKeyResp.rt,InstrKeyResp.started,InstrKeyResp.stopped,precondBkg.started,precondBkg.stopped,imagePreCond.started,imagePreCond.stopped,BlankBkg.started,BlankBkg.stopped,Bkg.started,Bkg.stopped,image.started,image.stopped,Scale.response,Scale.rt,Scale.started,Scale.stopped,InstrBkg2.started,InstrBkg2.stopped,TagFig2.started,TagFig2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,CSBkg.started,CSBkg.stopped,CS_image.started,CS_image.stopped,UCSBkg.started,UCSBkg.stopped,UCS_image.started,UCS_image.stopped,sound_1.started,sound_1.stopped,InstrBkg3.started,InstrBkg3.stopped,TagFig3.started,TagFig3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,ExtBkg.started,ExtBkg.stopped,Ext_image.started,Ext_image.stopped,EndTxt.started,EndTxt.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,0.9,,Condition\CS+1.BMP,Condition\UCS1.BMP,Sound\scream1.wav,,,,,,,,,,0,9,9,8,,,,,,,,,,,,,,,,,,,,,,,,,403.9369826000184,None,,,,,,,,,,,,,,,,,396.866448100016,None,396.866448100016,None,402.87297640001634,None,402.87297640001634,None,402.88255159999824,None,,,,,,,,,,,,,,,hyz1101,001,2021_Nov_01_1643,FigureTest,2021.2.1,59.6283010211765,
,0.9,,Condition\CS+1.BMP,Condition\UCS1.BMP,Sound\scream1.wav,,,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,419.1752841999987,None,,,,,,,,,,,,,,,,,412.1146967000095,None,412.1146967000095,None,418.14090120000765,None,418.14090120000765,None,418.14993685000223,None,,,,,,,,,,,,,,,hyz1101,001,2021_Nov_01_1643,FigureTest,2021.2.1,59.6283010211765,
,0.4,,Condition\CS-1.BMP,Condition\black.PNG,Sound\silent.wav,,,,,,,,,,0,11,11,18,,,,,,,,,,,,,,,,,,,,,,,,,437.3097298000066,None,,,,,,,,,,,,,,,,,427.7226526000013,None,427.7226526000013,None,None,None,None,None,None,None,,,,,,,,,,,,,,,hyz1101,001,2021_Nov_01_1643,FigureTest,2021.2.1,59.6283010211765,
,0.4,,Condition\CS-1.BMP,Condition\black.PNG,Sound\silent.wav,,,,,,,,,,0,12,12,28,,,,,,,,,,,,,,,,,,,,,,,,,452.74926430001506,None,,,,,,,,,,,,,,,,,445.6522054000234,None,445.6522054000234,None,452.70492220000597,None,452.70492220000597,None,452.63642025006703,None,,,,,,,,,,,,,,,hyz1101,001,2021_Nov_01_1643,FigureTest,2021.2.1,59.6283010211765,
,0.4,,Condition\CS-1.BMP,Condition\black.PNG,Sound\silent.wav,,,,,,,,,,0,13,13,27,,,,,,,,,,,,,,,,,,,,,,,,,468.0157262000139,None,,,,,,,,,,,,,,,,,460.942414500023,None,460.942414500023,None,467.9409100000048,None,467.9409100000048,None,467.8935946000507,None,,,,,,,,,,,,,,,hyz1101,001,2021_Nov_01_1643,FigureTest,2021.2.1,59.6283010211765,
,-0.1,,Condition\CS+1.BMP,Condition\black.PNG,Sound\silent.wav,,,,,,,,,,0,14,14,2,,,,,,,,,,,,,,,,,,,,,,,,,483.17281350001576,None,,,,,,,,,,,,,,,,,476.13876540001365,None,476.13876540001365,None,483.15278170001693,None,483.15278170001693,None,483.07738500006377,None,,,,,,,,,,,,,,,hyz1101,001,2021_Nov_01_1643,FigureTest,2021.2.1,59.6283010211765,
,0.9,,Condition\CS+1.BMP,Condition\UCS1.BMP,Sound\scream1.wav,,,,,,,,,,0,15,15,7,,,,,,,,,,,,,,,,,,,,,,,,,498.3551401000004,None,,,,,,,,,,,,,,,,,491.3051732000022,None,491.3051732000022,None,497.40611460001674,None,497.40611460001674,None,497.40513685002804,None,,,,,,,,,,,,,,,hyz1101,001,2021_Nov_01_1643,FigureTest,2021.2.1,59.6283010211765,
,0.4,,Condition\CS-1.BMP,Condition\black.PNG,Sound\silent.wav,,,,,,,,,,0,16,16,19,,,,,,,,,,,,,,,,,,,,,,,,,516.3265792000166,None,,,,,,,,,,,,,,,,,506.747774700023,None,506.747774700023,None,None,None,None,None,None,None,,,,,,,,,,,,,,,hyz1101,001,2021_Nov_01_1643,FigureTest,2021.2.1,59.6283010211765,
,0.4,,Condition\CS-1.BMP,Condition\black.PNG,Sound\silent.wav,,,,,,,,,,0,17,17,25,,,,,,,,,,,,,,,,,,,,,,,,,531.523062399996,None,,,,,,,,,,,,,,,,,524.4391164999979,None,524.4391164999979,None,531.4790627000039,None,531.4790627000039,None,531.4048075000698,None,,,,,,,,,,,,,,,hyz1101,001,2021_Nov_01_1643,FigureTest,2021.2.1,59.6283010211765,
,0.4,,Condition\CS-1.BMP,Condition\black.PNG,Sound\silent.wav,,,,,,,,,,0,18,18,15,,,,,,,,,,,,,,,,,,,,,,,,,547.088874100009,None,,,,,,,,,,,,,,,,,539.9855438000232,None,539.9855438000232,None,547.011496000021,None,547.011496000021,None,546.933506750071,None,,,,,,,,,,,,,,,hyz1101,001,2021_Nov_01_1643,FigureTest,2021.2.1,59.6283010211765,
,0.9,,Condition\CS+1.BMP,Condition\UCS1.BMP,Sound\scream1.wav,,,,,,,,,,0,19,19,4,,,,,,,,,,,,,,,,,,,,,,,,,562.5220936000114,None,,,,,,,,,,,,,,,,,555.5226773000031,None,555.5226773000031,None,561.6351280999952,None,561.6351280999952,None,561.6314854500292,None,,,,,,,,,,,,,,,hyz1101,001,2021_Nov_01_1643,FigureTest,2021.2.1,59.6283010211765,
,0.4,,Condition\CS-1.BMP,Condition\black.PNG,Sound\silent.wav,,,,,,,,,,0,20,20,16,,,,,,,,,,,,,,,,,,,,,,,,,580.345935600024,None,,,,,,,,,,,,,,,,,570.7674942000012,None,570.7674942000012,None,None,None,None,None,None,None,,,,,,,,,,,,,,,hyz1101,001,2021_Nov_01_1643,FigureTest,2021.2.1,59.6283010211765,
