PreCondName,TrgCol,ratingName,CSName,UCSName,SoundName,ExtName,PreConditiong.thisRepN,PreConditiong.thisTrialN,PreConditiong.thisN,PreConditiong.thisIndex,Rating1.thisRepN,Rating1.thisTrialN,Rating1.thisN,Rating1.thisIndex,Conditioning.thisRepN,Conditioning.thisTrialN,Conditioning.thisN,Conditioning.thisIndex,Extinction.thisRepN,Extinction.thisTrialN,Extinction.thisN,Extinction.thisIndex,InstrBkg.started,InstrBkg.stopped,TagFig.started,TagFig.stopped,InstrKeyResp.keys,InstrKeyResp.rt,InstrKeyResp.started,InstrKeyResp.stopped,precondBkg.started,precondBkg.stopped,imagePreCond.started,imagePreCond.stopped,BlankBkg.started,BlankBkg.stopped,Bkg.started,Bkg.stopped,image.started,image.stopped,Scale.response,Scale.rt,Scale.started,Scale.stopped,InstrBkg2.started,InstrBkg2.stopped,TagFig2.started,TagFig2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,CSBkg.started,CSBkg.stopped,CS_image.started,CS_image.stopped,UCSBkg.started,UCSBkg.stopped,UCS_image.started,UCS_image.stopped,sound_1.started,sound_1.stopped,BlankBkg2.started,BlankBkg2.stopped,InstrBkg3.started,InstrBkg3.stopped,TagFig3.started,TagFig3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,ExtBkg.started,ExtBkg.stopped,Ext_image.started,Ext_image.stopped,ISIBkg.started,ISIBkg.stopped,InterSessInstrct.started,InterSessInstrct.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
PreCondition\CS+.PNG,-0.1,,,,,,0,9,9,0,,,,,,,,,,,,,,,,,,,,,72.36885619999885,None,72.36885619999885,73.35350309999922,73.36912379999922,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aaaa,001,2021_Aug_05_1612,FigureTest,2021.2.1,59.893760447138675,
,-0.1,PreCondition\ratingCS+.png,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,79.31703819999893,None,79.31703819999893,None,3.4921875,34.436576899999636,79.31703819999893,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aaaa,001,2021_Aug_05_1612,FigureTest,2021.2.1,59.893760447138675,
,0.4,PreCondition\ratingCS-.png,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,114.79405110000152,None,114.79405110000152,None,4.609375,14.39970440000252,114.79405110000152,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aaaa,001,2021_Aug_05_1612,FigureTest,2021.2.1,59.893760447138675,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.19378390000202,None,129.19378390000202,None,space,34.542010799999844,129.19378390000202,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aaaa,001,2021_Aug_05_1612,FigureTest,2021.2.1,59.893760447138675,
,0,,Condition\CS+.PNG,Condition\black.PNG,Sound\silent.wav,,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.78221570000096,None,163.78221570000096,None,None,None,None,None,None,None,169.4175662000016,None,,,,,,,,,,,,,,,,,,,,,aaaa,001,2021_Aug_05_1612,FigureTest,2021.2.1,59.893760447138675,
,-0.1,,Condition\CS+.PNG,Condition\UCS.PNG,Sound\scream1.wav,,,,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.98763020000115,None,171.98763020000115,None,174.10333230000106,None,174.10333230000106,None,174.10070698000055,None,175.00036009999894,None,,,,,,,,,,,,,,,,,,,,,aaaa,001,2021_Aug_05_1612,FigureTest,2021.2.1,59.893760447138675,
,0,,Condition\CS+.PNG,Condition\black.PNG,Sound\silent.wav,,,,,,,,,,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.22559030000048,None,177.22559030000048,None,None,None,None,None,None,None,182.8828366000016,None,,,,,,,,,,,,,,,,,,,,,aaaa,001,2021_Aug_05_1612,FigureTest,2021.2.1,59.893760447138675,
,-0.1,,Condition\CS+.PNG,Condition\UCS.PNG,Sound\scream1.wav,,,,,,,,,,0,3,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185.311845799999,None,185.311845799999,None,187.41433529999995,None,187.41433529999995,None,187.41064678000185,None,188.33568820000073,None,,,,,,,,,,,,,,,,,,,,,aaaa,001,2021_Aug_05_1612,FigureTest,2021.2.1,59.893760447138675,
,-0.1,,Condition\CS+.PNG,Condition\UCS.PNG,Sound\scream1.wav,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.46105589999934,None,190.46105589999934,None,192.46159210000042,None,192.46159210000042,None,192.4617101400021,None,193.49262810000073,None,,,,,,,,,,,,,,,,,,,,,aaaa,001,2021_Aug_05_1612,FigureTest,2021.2.1,59.893760447138675,
,-0.1,,Condition\CS+.PNG,Condition\UCS.PNG,Sound\scream1.wav,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195.56327740000052,None,195.56327740000052,None,197.57759309999892,None,197.57759309999892,None,197.57915214000096,None,198.60228579999966,None,,,,,,,,,,,,,,,,,,,,,aaaa,001,2021_Aug_05_1612,FigureTest,2021.2.1,59.893760447138675,
,0.4,,Condition\CS-.PNG,Condition\black.PNG,Sound\silent.wav,,,,,,,,,,0,6,6,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.7769627000016,None,200.7769627000016,None,None,None,None,None,None,None,206.41795320000165,None,,,,,,,,,,,,,,,,,,,,,aaaa,001,2021_Aug_05_1612,FigureTest,2021.2.1,59.893760447138675,
