PreCondName,TrgCol,ratingName_EN,ratingName_CN,CSName,UCSName,SoundName,ExtName,PreCond.thisRepN,PreCond.thisTrialN,PreCond.thisN,PreCond.thisIndex,RatingPreCond.thisRepN,RatingPreCond.thisTrialN,RatingPreCond.thisN,RatingPreCond.thisIndex,Cond.thisRepN,Cond.thisTrialN,Cond.thisN,Cond.thisIndex,RatingCond.thisRepN,RatingCond.thisTrialN,RatingCond.thisN,RatingCond.thisIndex,Extinction.thisRepN,Extinction.thisTrialN,Extinction.thisN,Extinction.thisIndex,InstrBkg.started,TagFig.started,InstrKeyResp.started,InstrKeyResp.keys,InstrKeyResp.rt,precondBkg.started,imagePreCond.started,imagePreCond.stopped,BlankBkg.started,BlankBkg.stopped,Bkg.started,image.started,Scale.started,Scale.response,Scale.rt,fearRating.keys,fearRating.rt,InstrBkg2.started,TagFig2.started,key_resp.started,key_resp.keys,key_resp.rt,CSBkg.started,CS_image.started,UCSBkg.started,UCS_image.started,sound_1.started,sound_1.stopped,UCSBkg.stopped,UCS_image.stopped,InstrBkg3.started,TagFig3.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,ExtBkg.started,Ext_image.started,participant,session,date,expName,psychopyVersion,frameRate,
Stimuli/CS+4.BMP,0.4,,,,,,,0,9,9,10,,,,,,,,,,,,,,,,,,,,,,128.72995183401508,128.72995183401508,134.7186109170143,134.7333455000189,138.90487929200754,,,,,,,,,,,,,,,,,,,,,,,,,,,,Choaib,001,2022-12-24_13h09.04.319,FigureTest,2022.2.4,None,
Stimuli/CS+4.BMP,0.4,,,,,,,0,10,10,11,,,,,,,,,,,,,,,,,,,,,,138.90487929200754,138.90487929200754,144.88429824999184,144.90275037501124,149.26915720899706,,,,,,,,,,,,,,,,,,,,,,,,,,,,Choaib,001,2022-12-24_13h09.04.319,FigureTest,2022.2.4,None,
Stimuli/CS+3.BMP,-0.1,,,,,,,0,11,11,0,,,,,,,,,,,,,,,,,,,,,,149.26915720899706,149.26915720899706,155.23701729200548,155.27042495901696,159.5695753339969,,,,,,,,,,,,,,,,,,,,,,,,,,,,Choaib,001,2022-12-24_13h09.04.319,FigureTest,2022.2.4,None,
Stimuli/CS+1.BMP,0.4,,,,,,,0,12,12,7,,,,,,,,,,,,,,,,,,,,,,159.5695753339969,159.5695753339969,165.53737037500832,165.57071845899918,169.7235689999943,,,,,,,,,,,,,,,,,,,,,,,,,,,,Choaib,001,2022-12-24_13h09.04.319,FigureTest,2022.2.4,None,
Stimuli/CS+1.BMP,0.4,,,,,,,0,13,13,6,,,,,,,,,,,,,,,,,,,,,,169.7235689999943,169.7235689999943,175.70189820899395,175.7375985000108,179.97696308401646,,,,,,,,,,,,,,,,,,,,,,,,,,,,Choaib,001,2022-12-24_13h09.04.319,FigureTest,2022.2.4,None,
Stimuli/CS+3.BMP,-0.1,,,,,,,0,14,14,1,,,,,,,,,,,,,,,,,,,,,,179.97696308401646,179.97696308401646,185.95402579201618,185.9703826670011,190.1097157089971,,,,,,,,,,,,,,,,,,,,,,,,,,,,Choaib,001,2022-12-24_13h09.04.319,FigureTest,2022.2.4,None,
,-0.1,Instructions_EN/ratingCS+1.png,Instructions_CN/ratingCS+1.png,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,190.1097157089971,190.1097157089971,190.1097157089971,None,None,1,10.094404375005979,,,,,,,,,,,,,,,,,,,,,Choaib,001,2022-12-24_13h09.04.319,FigureTest,2022.2.4,None,
,0.4,Instructions_EN/ratingCS+3.png,Instructions_CN/ratingCS+3.png,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,200.25717291701585,200.25717291701585,200.25717291701585,None,None,1,3.7237273750070017,,,,,,,,,,,,,,,,,,,,,Choaib,001,2022-12-24_13h09.04.319,FigureTest,2022.2.4,None,
,-0.1,Instructions_EN/ratingCS+4.png,Instructions_CN/ratingCS+4.png,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,204.04283562500495,204.04283562500495,204.04283562500495,None,None,1,3.503135667007882,,,,,,,,,,,,,,,,,,,,,Choaib,001,2022-12-24_13h09.04.319,FigureTest,2022.2.4,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.5850875840115,207.5850875840115,207.5850875840115,space,6.957306875003269,,,,,,,,,,,,,,,,Choaib,001,2022-12-24_13h09.04.319,FigureTest,2022.2.4,None,
