PreCondName,TrgCol,ratingName,CSName,UCSName,SoundName,ExtName,Session_Condition.thisRepN,Session_Condition.thisTrialN,Session_Condition.thisN,Session_Condition.thisIndex,PreCond.thisRepN,PreCond.thisTrialN,PreCond.thisN,PreCond.thisIndex,RatingPreCond.thisRepN,RatingPreCond.thisTrialN,RatingPreCond.thisN,RatingPreCond.thisIndex,Cond.thisRepN,Cond.thisTrialN,Cond.thisN,Cond.thisIndex,RatingCond.thisRepN,RatingCond.thisTrialN,RatingCond.thisN,RatingCond.thisIndex,Session_Extinction.thisRepN,Session_Extinction.thisTrialN,Session_Extinction.thisN,Session_Extinction.thisIndex,Extinction.thisRepN,Extinction.thisTrialN,Extinction.thisN,Extinction.thisIndex,RatingExt.thisRepN,RatingExt.thisTrialN,RatingExt.thisN,RatingExt.thisIndex,InstrBkg.started,InstrBkg.stopped,TagFig.started,TagFig.stopped,InstrKeyResp.keys,InstrKeyResp.rt,InstrKeyResp.started,InstrKeyResp.stopped,precondBkg.started,precondBkg.stopped,imagePreCond.started,imagePreCond.stopped,BlankBkg.started,BlankBkg.stopped,Bkg.started,Bkg.stopped,image.started,image.stopped,Scale.response,Scale.rt,Scale.started,Scale.stopped,InstrBkg2.started,InstrBkg2.stopped,TagFig2.started,TagFig2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,CSBkg.started,CSBkg.stopped,CS_image.started,CS_image.stopped,UCSBkg.started,UCSBkg.stopped,UCS_image.started,UCS_image.stopped,sound_1.started,sound_1.stopped,InstrBkg3.started,InstrBkg3.stopped,TagFig3.started,TagFig3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,ExtBkg.started,ExtBkg.stopped,Ext_image.started,Ext_image.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,0.4,,Condition\CS-1.BMP,Condition\black.PNG,Sound\silent.wav,,0,0,0,0,,,,,,,,,0,20,20,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.32719790004194,None,,,,,,,,,,,,,,,,,149.78883309999947,None,149.78883309999947,None,None,None,None,None,None,None,,,,,,,,,,,,,hyz1104,001,2021_Nov_02_1543,FigureTest,2021.2.1,59.90886663557054,
,-0.1,,Condition\CS+1.BMP,Condition\black.PNG,Sound\silent.wav,,0,0,0,0,,,,,,,,,0,21,21,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.40593240002636,None,,,,,,,,,,,,,,,,,155.3867573000025,None,155.3867573000025,None,157.38646140001947,None,157.38646140001947,None,157.332386610267,None,,,,,,,,,,,,,hyz1104,001,2021_Nov_02_1543,FigureTest,2021.2.1,59.90886663557054,
,0.9,,Condition\CS+1.BMP,Condition\UCS1.BMP,Sound\scream1.wav,,0,0,0,0,,,,,,,,,0,22,22,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.6342016000417,None,,,,,,,,,,,,,,,,,158.60607500001788,None,158.60607500001788,None,159.71364360000007,None,159.71364360000007,None,159.72341034006095,None,,,,,,,,,,,,,hyz1104,001,2021_Nov_02_1543,FigureTest,2021.2.1,59.90886663557054,
,0.4,,Condition\CS-1.BMP,Condition\black.PNG,Sound\silent.wav,,0,0,0,0,,,,,,,,,0,23,23,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.4245637000422,None,,,,,,,,,,,,,,,,,161.90636560000712,None,161.90636560000712,None,None,None,None,None,None,None,,,,,,,,,,,,,hyz1104,001,2021_Nov_02_1543,FigureTest,2021.2.1,59.90886663557054,
,0.9,,Condition\CS+1.BMP,Condition\UCS1.BMP,Sound\scream1.wav,,0,0,0,0,,,,,,,,,0,24,24,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.4838260000106,None,,,,,,,,,,,,,,,,,167.46767980000004,None,167.46767980000004,None,168.59151430003112,None,168.59151430003112,None,168.59299694005168,None,,,,,,,,,,,,,hyz1104,001,2021_Nov_02_1543,FigureTest,2021.2.1,59.90886663557054,
,0.9,,Condition\CS+1.BMP,Condition\UCS1.BMP,Sound\scream1.wav,,0,0,0,0,,,,,,,,,0,25,25,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.55926460004412,None,,,,,,,,,,,,,,,,,170.5338903000229,None,170.5338903000229,None,171.5518074000138,None,171.5518074000138,None,171.56181216003608,None,,,,,,,,,,,,,hyz1104,001,2021_Nov_02_1543,FigureTest,2021.2.1,59.90886663557054,
,0.9,,Condition\CS+1.BMP,Condition\UCS1.BMP,Sound\scream1.wav,,0,0,0,0,,,,,,,,,0,26,26,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.6346315999981,None,,,,,,,,,,,,,,,,,173.59442440001294,None,173.59442440001294,None,174.6010321000358,None,174.6010321000358,None,174.6105871600099,None,,,,,,,,,,,,,hyz1104,001,2021_Nov_02_1543,FigureTest,2021.2.1,59.90886663557054,
,0.4,,Condition\CS-1.BMP,Condition\black.PNG,Sound\silent.wav,,0,0,0,0,,,,,,,,,0,27,27,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.30448170000454,None,,,,,,,,,,,,,,,,,176.7870438999962,None,176.7870438999962,None,None,None,None,None,None,None,,,,,,,,,,,,,hyz1104,001,2021_Nov_02_1543,FigureTest,2021.2.1,59.90886663557054,
,0.4,,Condition\CS-1.BMP,Condition\black.PNG,Sound\silent.wav,,0,0,0,0,,,,,,,,,0,28,28,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184.55884800001513,None,,,,,,,,,,,,,,,,,182.4398860000074,None,182.4398860000074,None,184.46924150001723,None,184.46924150001723,None,184.39251811027646,None,,,,,,,,,,,,,hyz1104,001,2021_Nov_02_1543,FigureTest,2021.2.1,59.90886663557054,
,0.4,,Condition\CS-1.BMP,Condition\black.PNG,Sound\silent.wav,,0,0,0,0,,,,,,,,,0,29,29,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187.71239990001777,None,,,,,,,,,,,,,,,,,185.64109500002814,None,185.64109500002814,None,187.65854870004114,None,187.65854870004114,None,187.59542754028226,None,,,,,,,,,,,,,hyz1104,001,2021_Nov_02_1543,FigureTest,2021.2.1,59.90886663557054,
