ExtName,TrgCol,ratingName,Session_Extinction.thisRepN,Session_Extinction.thisTrialN,Session_Extinction.thisN,Session_Extinction.thisIndex,Extinction.thisRepN,Extinction.thisTrialN,Extinction.thisN,Extinction.thisIndex,RatingExt.thisRepN,RatingExt.thisTrialN,RatingExt.thisN,RatingExt.thisIndex,InstrBkg3.started,InstrBkg3.stopped,TagFig3.started,TagFig3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,ExtBkg.started,ExtBkg.stopped,Ext_image.started,Ext_image.stopped,BlankBkg.started,BlankBkg.stopped,Bkg.started,Bkg.stopped,image.started,image.stopped,Scale.response,Scale.rt,Scale.started,Scale.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Extinction\CS-1.BMP,0.4,,1,0,1,0,0,18,18,18,,,,,,,,,,,,,74.24708509998163,None,74.24708509998163,None,75.25228839996271,None,,,,,,,,,hyz1102,001,2021_Nov_02_1624,FigureTest,2021.2.1,59.80657357596314,
Extinction\CS+1.BMP,-0.1,,1,0,1,0,0,19,19,5,,,,,,,,,,,,,75.42894489999162,None,75.42894489999162,None,76.43549939995864,None,,,,,,,,,hyz1102,001,2021_Nov_02_1624,FigureTest,2021.2.1,59.80657357596314,
,-0.1,Rating\ratingCS+1.png,1,0,1,0,,,,,0,0,0,0,,,,,,,,,,,,,,,78.0068445999641,None,78.0068445999641,None,2.796875,3.450972900027409,78.0068445999641,None,hyz1102,001,2021_Nov_02_1624,FigureTest,2021.2.1,59.80657357596314,
,0.4,Rating\ratingCS-1.png,1,0,1,0,,,,,0,1,1,1,,,,,,,,,,,,,,,83.01952749997145,None,83.01952749997145,None,2.2890625,0.6827669000485912,83.01952749997145,None,hyz1102,001,2021_Nov_02_1624,FigureTest,2021.2.1,59.80657357596314,
,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hyz1102,001,2021_Nov_02_1624,FigureTest,2021.2.1,59.80657357596314,
Extinction\CS-1.BMP,0.4,,2,0,2,0,0,0,0,19,,,,,,,,,,,,,83.5673400000087,None,83.5673400000087,None,84.55747979995795,None,,,,,,,,,hyz1102,001,2021_Nov_02_1624,FigureTest,2021.2.1,59.80657357596314,
Extinction\CS+1.BMP,-0.1,,2,0,2,0,0,1,1,8,,,,,,,,,,,,,84.89017929998226,None,84.89017929998226,None,85.89325239998288,None,,,,,,,,,hyz1102,001,2021_Nov_02_1624,FigureTest,2021.2.1,59.80657357596314,
Extinction\CS-1.BMP,0.4,,2,0,2,0,0,2,2,10,,,,,,,,,,,,,86.03720209997846,None,86.03720209997846,None,87.02811730001122,None,,,,,,,,,hyz1102,001,2021_Nov_02_1624,FigureTest,2021.2.1,59.80657357596314,
Extinction\CS-1.BMP,0.4,,2,0,2,0,0,3,3,13,,,,,,,,,,,,,87.11471429996891,None,87.11471429996891,None,88.12658729997929,None,,,,,,,,,hyz1102,001,2021_Nov_02_1624,FigureTest,2021.2.1,59.80657357596314,
Extinction\CS+1.BMP,-0.1,,2,0,2,0,0,4,4,7,,,,,,,,,,,,,88.22176469996339,None,88.22176469996339,None,89.22604859998683,None,,,,,,,,,hyz1102,001,2021_Nov_02_1624,FigureTest,2021.2.1,59.80657357596314,
